Survived,Pclass,Sex,AgeGroup,Relatives,EqualFreq,Embarked
1,1,female,NK,Few,5,C
1,1,female,Adult,None,5,C
0,1,female,Child,Many,5,S
1,1,male,Baby,Many,5,S
0,1,female,Adult,Many,5,S
1,1,female,Youth,None,5,S
1,1,female,Adult,Few,5,S
0,1,male,Adult,Few,5,S
1,1,female,Adult,None,5,S
1,1,female,Adult,Few,5,S
1,1,female,Adult,Few,5,S
1,1,female,Youth,Few,5,S
1,1,female,Adult,None,5,S
1,1,female,Adult,Few,5,S
0,1,male,Adult,Few,5,C
0,1,male,NK,None,5,S
1,1,female,Adult,None,5,C
0,1,male,NK,None,5,C
1,1,female,Youth,Few,5,C
1,1,female,Adult,None,5,C
0,1,male,Youth,Few,5,C
1,1,female,Adult,Few,5,C
1,1,female,Youth,Many,5,C
1,1,female,Youth,Many,5,C
0,1,male,Youth,Many,5,S
1,1,female,Youth,Many,5,S
1,1,female,Youth,Many,5,S
0,1,male,Senior,Many,5,S
1,1,female,Adult,None,5,C
1,1,male,Adult,Few,5,C
1,1,male,Adult,None,5,C
