Class,Alcohol,Malic Acid,Ash,Alcalinity of Ash,Magnesium,Total Phenols,Flavanoids,Nonflavanoid Phenols,Proanthocyanins,Color Intensity,Hue,OD280/OD315 of Diluted Wines,Proline,,Euclidian Distance,,Sorted,Class,Determined,Instance to Classify,,,,,,,,,,,,
3,13.58,2.58,2.69,24.5,105,1.55,0.84,0.39,1.54,8.66,0.74,1.8,750,,930.047523678226,,1325.02538005881,,,,,,,,,,,,,,,
3,13.4,4.6,2.86,25,112,1.98,0.96,0.27,1.11,8.5,0.67,1.92,630,,1050.05255606565,,1328.20180014183,,,,,,,,,,,,,,,
3,12.2,3.03,2.32,19,96,1.25,0.49,0.4,0.73,5.5,0.66,1.83,510,,1170.07913138386,,1335.03314340881,,,,,,,,,,,,,,,
3,12.77,2.39,2.28,19.5,86,1.39,0.51,0.48,0.64,9.899999,0.57,1.63,470,,1210.21314097873,,1335.05315691923,,,,,,,,,,,,,,,
3,14.16,2.51,2.48,20,91,1.68,0.7,0.44,1.24,9.7,0.62,1.71,660,,1020.15594768643,,1338.19211057307,,,,,,,,,,,,,,,
3,13.71,5.65,2.45,20.5,95,1.68,0.61,0.52,1.06,7.7,0.64,1.74,740,,940.116246110022,,1355.17436973992,,,,,,,,,,,,,,,
3,13.4,3.91,2.48,23,102,1.8,0.75,0.43,1.41,7.3,0.7,1.56,750,,930.054117780251,,1365.14725125167,,,,,,,,,,,,,,,
3,13.27,4.28,2.26,20,120,1.59,0.69,0.43,1.35,10.2,0.59,1.56,835,,845.107875954307,,1368.11227550958,,,,,,,,,,,,,,,
3,13.17,2.59,2.37,20,120,1.65,0.68,0.53,1.46,9.3,0.6,1.62,840,,840.103558199821,,1390.16336133564,,,,,,,,,,,,,,,
3,14.13,4.1,2.74,24.5,96,2.05,0.76,0.56,1.35,9.2,0.61,1.6,560,,1120.10197000095,,1402.19186508124,,,,,,,,,,,,,,,
